"﻿Session start","Question 1","Question 2","Question 3","Question 4","Question 5","Question 6","Question 7","Question 8","Question 9","Question 10","Session end","Session source"
"2019-06-07 14:40",1,4,4,4,4,4,2,2,4,1,"2019-06-07 19:20",kiosk
"2019-06-07 21:56",1,,,,,,,,,,"2019-06-07 21:58",kiosk
"2019-06-07 21:56",1,,,,,,,,,,"2019-06-07 23:31",kiosk
"2019-06-08 13:46",,,,,,,,,,,"2019-06-08 13:48",kiosk
"2019-06-08 13:48",1,4,4,,,,,,,,"2019-06-08 13:49",kiosk
"2019-06-08 14:00",1,,,,,,,,,,"2019-06-08 14:03",kiosk
"2019-06-08 14:00",1,,,,,,,,,,"2019-06-08 14:12",kiosk
"2019-06-08 15:34",1,,,,,,,,,,"2019-06-08 15:37",kiosk
"2019-06-08 19:46",1,5,4,4,4,5,2,2,1,3,"2019-06-08 19:47",kiosk
"2019-06-08 23:22",1,4,3,4,1,3,2,2,3,3,"2019-06-08 23:25",kiosk
"2019-06-09 11:14",1,4,4,5,3,3,1,1,2,3,"2019-06-09 11:15",kiosk
"2019-06-09 11:14",1,4,3,4,3,5,1,1,2,3,"2019-06-09 11:15",kiosk
"2019-06-09 11:14",1,4,4,5,3,3,1,1,2,3,"2019-06-10 05:27",kiosk
"2019-06-10 12:26",1,4,4,3,4,5,2,3,2,1,"2019-06-10 12:27",kiosk
"2019-06-10 12:29",1,3,4,4,4,4,1,3,1,1,"2019-06-10 12:31",kiosk
"2019-06-10 12:26",1,4,4,3,4,5,2,3,2,1,"2019-06-10 21:59",kiosk
"2019-06-10 12:26",1,4,4,3,4,5,2,3,2,1,"2019-06-11 09:53",kiosk
"2019-06-11 15:53",1,,,,,,,,,,"2019-06-11 15:56",kiosk
"2019-06-11 20:35",1,4,4,4,4,3,2,1,4,2,"2019-06-11 20:35",kiosk
"2019-06-11 20:35",1,4,4,4,4,3,2,1,4,2,"2019-06-11 21:39",kiosk
"2019-06-12 00:12",,,,,,,,,,,"2019-06-12 00:15",kiosk
"2019-06-12 10:03",1,4,4,4,3,4,2,2,1,1,"2019-06-12 10:04",kiosk
"2019-06-12 10:18",1,1,1,4,2,1,2,2,1,2,"2019-06-12 10:19",kiosk
"2019-06-12 10:18",1,1,1,4,2,1,2,2,1,2,"2019-06-12 14:20",kiosk
"2019-06-12 10:03",1,4,4,4,3,4,2,2,1,1,"2019-06-12 14:20",kiosk
"2019-06-12 15:02",1,5,5,4,4,4,2,2,1,1,"2019-06-12 15:03",kiosk
