Session start,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Session end,Session source
2019-06-05 11:19,,,,,,,,,,2019-06-05 11:37,kiosk
2019-06-05 12:13,2,1,2,1,1,3,3,2,3,2019-06-05 12:17,kiosk
2019-06-05 12:36,4,2,2,4,2,4,1,3,4,2019-06-05 12:38,kiosk
2019-06-05 12:36,3,2,2,2,2,4,1,3,4,2019-06-05 12:38,kiosk
2019-06-05 12:39,3,2,4,2,3,1,3,2,2,2019-06-05 12:40,kiosk
2019-06-05 12:39,4,1,3,2,3,2,2,3,2,2019-06-05 12:41,kiosk
2019-06-05 12:41,3,2,2,2,3,4,3,1,4,2019-06-05 12:42,kiosk
2019-06-05 12:42,2,1,2,1,1,4,4,1,4,2019-06-05 12:44,kiosk
2019-06-05 12:45,,,,,,,,,,2019-06-05 12:45,kiosk
2019-06-05 12:50,3,3,4,3,2,2,2,3,1,2019-06-05 12:52,kiosk
2019-06-05 12:51,4,2,3,4,2,2,4,2,1,2019-06-05 12:53,kiosk
2019-06-05 12:54,3,1,2,2,2,3,3,2,3,2019-06-05 12:55,kiosk
2019-06-05 12:54,2,1,2,1,2,3,3,1,3,2019-06-05 12:55,kiosk
2019-06-05 12:55,2,1,3,3,3,2,3,2,4,2019-06-05 12:56,kiosk
2019-06-05 12:56,2,1,3,1,2,3,2,1,3,2019-06-05 12:56,kiosk
2019-06-05 12:57,3,1,2,3,1,4,2,1,4,2019-06-05 12:59,kiosk
2019-06-05 12:57,3,2,4,3,3,2,3,3,2,2019-06-05 12:59,kiosk
2019-06-05 12:59,4,3,4,3,2,2,1,3,1,2019-06-05 13:01,kiosk
2019-06-05 12:59,3,1,3,4,4,3,1,3,4,2019-06-05 13:01,kiosk
2019-06-05 13:01,2,2,1,1,1,4,3,1,4,2019-06-05 13:03,kiosk
2019-06-05 13:02,1,2,2,3,2,2,3,2,3,2019-06-05 13:04,kiosk
2019-06-05 13:04,3,3,3,3,2,3,3,3,4,2019-06-05 13:06,kiosk
2019-06-05 13:05,2,1,3,1,2,2,3,1,4,2019-06-05 13:07,kiosk
2019-06-05 13:11,3,2,3,3,1,3,2,3,2,2019-06-05 13:12,kiosk
2019-06-05 13:11,3,2,3,3,1,3,2,3,2,2019-06-05 13:16,kiosk
2019-06-05 13:17,4,4,4,4,4,1,1,4,1,2019-06-05 13:17,kiosk
2019-06-05 13:17,4,2,3,4,2,4,3,2,3,2019-06-05 13:19,kiosk
2019-06-05 13:24,1,1,2,1,1,3,3,1,1,2019-06-05 13:26,kiosk
2019-06-05 13:32,1,2,3,1,2,4,2,2,2,2019-06-05 13:33,kiosk
2019-06-05 13:37,4,3,3,4,3,3,2,3,2,2019-06-05 13:38,kiosk
2019-06-05 13:38,2,1,2,1,1,3,3,1,4,2019-06-05 13:39,kiosk
2019-06-05 13:37,4,3,3,4,3,3,2,3,2,2019-06-05 13:42,kiosk
2019-06-05 13:42,3,1,3,1,1,2,2,4,1,2019-06-05 13:43,kiosk
2019-06-05 13:43,2,2,4,1,1,3,3,2,2,2019-06-05 13:46,kiosk
2019-06-05 13:50,2,1,3,1,1,3,1,2,4,2019-06-05 13:53,kiosk
2019-06-05 13:54,3,1,3,2,4,3,3,1,3,2019-06-05 13:57,kiosk
2019-06-05 13:59,2,1,2,1,1,4,4,2,4,2019-06-05 14:00,kiosk
2019-06-05 13:56,1,2,3,4,3,4,3,4,4,2019-06-05 14:00,kiosk
2019-06-05 14:01,3,1,4,3,4,1,2,4,1,2019-06-05 14:04,kiosk
2019-06-05 14:04,3,1,2,3,2,2,1,1,3,2019-06-05 14:06,kiosk
2019-06-05 14:06,3,1,2,2,3,4,3,1,4,2019-06-05 14:08,kiosk
2019-06-05 14:06,2,1,2,2,3,3,3,3,4,2019-06-05 14:08,kiosk
2019-06-05 14:09,4,3,4,2,3,2,2,3,2,2019-06-05 14:11,kiosk
2019-06-05 14:11,3,2,3,2,1,2,2,2,4,2019-06-05 14:13,kiosk
2019-06-05 14:12,3,1,3,3,2,3,2,2,4,2019-06-05 14:15,kiosk
2019-06-05 14:14,2,2,3,1,2,2,2,4,3,2019-06-05 14:16,kiosk
2019-06-05 14:15,3,2,3,1,2,3,2,2,4,2019-06-05 14:17,kiosk
2019-06-05 14:16,2,1,2,1,1,1,3,3,2,2019-06-05 14:19,kiosk
2019-06-05 14:18,3,2,3,2,2,3,2,2,3,2019-06-05 14:20,kiosk
2019-06-05 14:20,4,4,3,4,2,3,2,4,2,2019-06-05 14:22,kiosk
2019-06-05 14:22,2,1,3,3,2,3,4,3,4,2019-06-05 14:24,kiosk
2019-06-05 14:26,2,2,2,2,2,4,3,2,1,2019-06-05 14:27,kiosk
2019-06-05 14:30,3,1,2,2,1,3,4,1,4,2019-06-05 14:31,kiosk
2019-06-05 14:30,3,2,4,2,2,2,1,3,1,2019-06-05 14:31,kiosk
2019-06-05 14:38,,,,,,,,,,2019-06-05 14:38,kiosk
2019-06-05 14:38,3,2,3,3,1,3,2,3,3,2019-06-05 14:40,kiosk
2019-06-05 14:38,2,2,3,4,2,3,3,1,2,2019-06-05 14:41,kiosk
2019-06-05 14:42,2,2,3,3,2,3,3,1,2,2019-06-05 14:43,kiosk
2019-06-05 14:48,3,2,3,1,4,2,2,2,3,2019-06-05 14:50,kiosk
2019-06-05 14:49,3,2,3,2,2,3,3,3,4,2019-06-05 14:52,kiosk
2019-06-05 14:53,3,1,2,1,2,2,2,2,3,2019-06-05 14:54,kiosk
2019-06-05 14:55,3,2,3,4,2,2,4,2,4,2019-06-05 14:57,kiosk
2019-06-05 14:58,3,2,3,4,3,2,2,1,4,2019-06-05 15:00,kiosk
2019-06-05 14:58,3,1,2,4,1,3,2,1,4,2019-06-05 15:00,kiosk
2019-06-05 15:13,4,2,4,3,2,2,3,2,3,2019-06-05 15:15,kiosk
2019-06-05 15:30,3,2,3,2,1,3,3,1,4,2019-06-05 15:31,kiosk
2019-06-05 15:41,2,1,2,4,1,3,3,2,4,2019-06-05 15:42,kiosk
2019-06-05 15:43,3,1,2,2,1,2,2,2,4,2019-06-05 15:46,kiosk
2019-06-05 15:48,2,1,2,1,1,3,4,1,3,2019-06-05 15:48,kiosk
2019-06-05 16:00,3,2,2,1,2,3,3,2,3,2019-06-05 16:01,kiosk
2019-06-05 16:01,3,2,3,4,1,2,2,3,3,2019-06-05 16:03,kiosk
2019-06-05 16:10,4,2,3,3,1,2,1,4,3,2019-06-05 16:11,kiosk
2019-06-05 16:10,4,1,4,2,3,4,4,1,3,2019-06-05 16:12,kiosk
2019-06-05 16:22,2,1,3,2,1,3,3,1,4,2019-06-05 16:23,kiosk
2019-06-05 16:22,3,2,3,4,3,2,2,2,4,2019-06-05 16:23,kiosk
2019-06-05 16:26,3,1,3,1,1,3,4,1,3,2019-06-05 16:29,kiosk
2019-06-05 16:36,2,1,2,3,1,3,3,1,4,2019-06-05 16:38,kiosk
2019-06-05 16:42,4,3,4,3,2,1,2,3,1,2019-06-05 16:43,kiosk
2019-06-05 16:46,2,1,2,2,1,3,1,1,4,2019-06-05 16:48,kiosk
2019-06-05 16:50,,,,,,,,,,2019-06-05 16:50,kiosk
2019-06-05 16:50,3,2,3,1,4,3,2,4,3,2019-06-05 16:50,kiosk
2019-06-05 16:55,4,3,4,3,1,2,3,1,2,2019-06-05 16:58,kiosk
2019-06-05 17:13,4,2,3,3,2,2,3,2,3,2019-06-05 17:14,kiosk
2019-06-05 17:23,2,2,3,1,2,2,4,4,3,2019-06-05 17:25,kiosk
2019-06-05 17:36,3,2,3,1,4,2,2,3,1,2019-06-05 17:37,kiosk
2019-06-05 18:23,3,2,3,3,2,2,2,2,2,2019-06-05 18:25,kiosk
2019-06-05 19:05,3,2,3,3,2,3,2,3,3,2019-06-05 19:06,kiosk
2019-06-05 19:16,3,2,4,3,3,2,3,4,2,2019-06-05 19:17,kiosk
2019-06-05 19:21,3,2,4,4,3,2,3,4,2,2019-06-05 19:23,kiosk
2019-06-05 19:45,3,1,3,3,2,2,3,3,4,2019-06-05 19:47,kiosk
2019-06-05 19:53,3,3,3,4,2,2,2,3,2,2019-06-05 19:54,kiosk
2019-06-05 20:15,3,2,2,3,2,2,3,2,2,2019-06-05 20:17,kiosk
2019-06-05 20:21,4,2,3,3,2,3,3,2,3,2019-06-05 20:24,kiosk
2019-06-05 20:56,3,1,3,2,2,3,2,4,3,2019-06-05 20:59,kiosk
2019-06-05 21:03,4,1,2,4,3,2,2,3,2,2019-06-05 21:04,kiosk
2019-06-05 21:07,3,2,4,2,4,1,1,3,4,2019-06-05 21:09,kiosk
2019-06-05 21:07,3,2,3,1,1,4,4,1,4,2019-06-05 21:09,kiosk
2019-06-05 21:11,3,2,2,2,2,4,3,2,4,2019-06-05 21:14,kiosk
2019-06-05 21:17,4,3,4,4,2,2,2,2,3,2019-06-05 21:19,kiosk
2019-06-05 21:20,4,1,4,3,4,3,2,3,2,2019-06-05 21:22,kiosk
2019-06-05 21:23,3,2,4,3,3,2,2,2,4,2019-06-05 21:25,kiosk
2019-06-05 21:35,3,2,3,4,3,2,2,3,3,2019-06-05 21:36,kiosk
2019-06-05 21:49,4,3,4,4,3,2,3,3,4,2019-06-05 21:50,kiosk
2019-06-05 21:49,3,2,2,3,2,2,3,3,2,2019-06-05 21:51,kiosk
2019-06-05 23:29,4,2,1,3,3,1,3,4,1,2019-06-05 23:31,kiosk
2019-06-05 23:40,3,1,3,3,1,2,2,1,2,2019-06-05 23:43,kiosk
2019-06-05 23:29,4,2,1,3,3,1,3,4,1,2019-06-05 23:47,kiosk
2019-06-05 23:45,2,2,2,1,2,1,3,2,3,2019-06-05 23:47,kiosk
2019-06-06 01:06,2,2,3,2,1,3,3,1,4,2019-06-06 01:07,kiosk
2019-06-06 05:20,1,2,2,1,1,3,3,1,3,2019-06-06 05:23,kiosk
2019-06-06 07:01,2,1,2,1,2,3,1,1,3,2019-06-06 07:02,kiosk
2019-06-06 10:05,3,1,2,2,1,4,1,2,4,2019-06-06 10:07,kiosk
2019-06-06 10:22,2,1,2,2,1,3,4,1,4,2019-06-06 10:23,kiosk
2019-06-06 10:23,3,2,3,3,1,3,2,2,3,2019-06-06 10:24,kiosk
2019-06-06 10:27,3,3,2,3,4,3,3,3,3,2019-06-06 10:27,kiosk
2019-06-06 10:55,2,2,3,1,2,2,2,2,4,2019-06-06 10:56,kiosk
2019-06-06 11:33,2,1,2,2,3,3,2,2,3,2019-06-06 11:34,kiosk
2019-06-06 11:34,3,2,4,4,3,2,3,2,4,2019-06-06 11:35,kiosk
2019-06-06 11:49,1,2,3,1,1,2,3,1,4,2019-06-06 11:50,kiosk
2019-06-06 11:49,3,1,3,3,4,2,3,1,4,2019-06-06 11:50,kiosk
2019-06-06 11:55,2,1,2,1,1,3,3,1,4,2019-06-06 11:57,kiosk
2019-06-06 11:55,3,2,3,3,1,3,3,2,4,2019-06-06 11:57,kiosk
2019-06-06 12:50,3,2,2,2,4,3,3,1,4,2019-06-06 12:51,kiosk
2019-06-06 13:13,2,1,3,4,1,4,2,1,4,2019-06-06 13:15,kiosk
2019-06-06 13:17,2,1,3,1,1,2,3,4,3,2019-06-06 13:18,kiosk
2019-06-06 13:33,2,1,3,2,2,3,3,1,3,2019-06-06 13:35,kiosk
2019-06-06 13:36,1,1,1,2,1,4,4,1,4,2019-06-06 13:39,kiosk
2019-06-06 14:25,1,1,3,1,1,1,3,1,1,2019-06-06 14:26,kiosk
2019-06-06 14:43,3,2,2,1,1,1,3,1,3,2019-06-06 14:44,kiosk
2019-06-06 14:42,3,2,3,1,1,3,2,3,3,2019-06-06 14:44,kiosk
2019-06-06 14:45,2,1,2,2,1,4,3,1,4,2019-06-06 14:46,kiosk
2019-06-06 14:43,3,2,2,1,1,1,3,1,3,2019-06-06 15:01,kiosk
2019-06-06 14:59,3,2,3,2,2,4,3,4,4,2019-06-06 15:02,kiosk
2019-06-06 17:39,2,1,3,1,2,3,4,1,3,2019-06-06 17:41,kiosk
2019-06-06 18:23,3,1,2,2,3,1,4,2,3,2019-06-06 18:25,kiosk
2019-06-06 14:59,3,2,3,2,2,4,3,4,4,2019-06-06 19:18,kiosk
2019-06-06 21:17,4,2,4,2,3,3,2,4,1,2019-06-06 21:18,kiosk
2019-06-06 21:20,2,1,2,2,3,4,3,4,3,2019-06-06 21:23,kiosk
2019-06-06 21:17,4,2,4,2,3,3,2,4,1,2019-06-06 22:33,kiosk
2019-06-07 08:03,3,2,2,2,1,4,2,2,4,2019-06-07 08:05,kiosk
2019-06-06 21:20,2,1,2,2,3,4,3,4,3,2019-06-07 09:37,kiosk
2019-06-07 10:02,2,1,3,2,1,2,3,1,2,2019-06-07 10:03,kiosk
2019-06-07 10:28,3,1,2,1,2,3,3,2,4,2019-06-07 10:29,kiosk
2019-06-07 11:10,2,1,3,1,1,2,3,1,3,2019-06-07 11:11,kiosk
